date, pm25, pm10, o3, no2, co
2016/8/26, 50, 8, 30, 1, 
2016/8/27, 20, 13, 28, 3, 1
2016/8/28, 29, 9, 29, , 1
2016/8/29, 25, 11, 28, , 1
2016/8/30, 27, 12, 35, 2, 1
2016/8/31, 30, 11, 29, 1, 1
2016/9/1, 29, 12, 28, 1, 1
2016/9/2, 27, 8, 26, , 1
2016/9/3, 22, 6, 23, 1, 1
2016/9/4, 17, 7, 23, 1, 
2016/9/5, 23, 8, 29, 3, 
2016/9/6, 22, 13, 34, 3, 1
2016/9/7, 40, 17, 45, 4, 1
2016/9/8, 48, 15, 40, 4, 1
2016/9/9, 46, 12, 37, 2, 1
2016/9/10, 30, 11, 29, 1, 1
2016/9/11, 28, 12, 27, 4, 1
2016/9/12, 25, 15, 41, 3, 1
2016/9/13, 36, 14, 35, 5, 1
2016/9/14, 34, 16, 33, 8, 1
2016/9/15, 40, 13, 35, 3, 1
2016/9/16, 30, 8, 25, , 1
2016/9/17, 21, 7, 25, 1, 
2016/9/18, 19, 8, 27, 2, 
2016/9/19, 20, 10, 30, 1, 1
2016/9/20, 25, 9, 24, 5, 1
2016/9/21, 29, 14, 25, 9, 1
2016/9/22, 34, 14, 31, 2, 
2016/9/23, 33, 10, 31, 1, 
2016/9/24, 21, 13, 36, 2, 1
2016/9/25, 34, 20, 31, 5, 1
2016/9/26, 51, 17, 30, 5, 1
2016/9/27, 37, 20, 25, 1, 1
2016/9/28, 37, 18, 25, , 1
2016/9/29, 29, 12, 26, 1, 
2016/9/30, 25, 12, 26, 2, 
2016/4/1, 21, 10, 24, 4, 1
2016/4/2, 28, 17, 21, 8, 1
2016/4/3, 53, 27, 25, 10, 2
2016/4/4, 66, 13, 27, 3, 2
2016/4/5, 36, 7, 33, 1, 1
2016/4/6, 22, 8, 33, 1, 1
2016/4/7, 23, 8, 37, 1, 1
2016/4/8, 22, 12, 37, 1, 1
2016/4/9, 28, 11, 35, 6, 1
2016/4/10, 33, 11, 35, 4, 1
2016/4/11, 25, 15, 33, 4, 1
2016/4/12, 25, 13, 35, 4, 1
2016/4/13, 36, 9, 33, 4, 1
2016/4/14, 25, 13, 27, 5, 1
2016/4/15, 32, 10, 36, 3, 1
2016/4/16, 31, 12, 35, , 1
2016/4/17, 25, 12, 34, 1, 1
2016/4/18, 27, 16, 36, , 1
2016/4/19, 32, 14, 33, 1, 1
2016/4/20, 31, 13, 35, 1, 1
2016/4/21, 26, 11, 35, , 1
2016/4/22, 22, 9, 35, 1, 1
2016/4/23, 17, 5, 33, 1, 1
2016/4/24, 18, 5, 32, 2, 1
2016/4/25, 16, 6, 28, 3, 1
2016/4/26, 22, 5, 35, 2, 1
2016/4/27, 20, 5, 36, 3, 1
2016/4/28, 20, 9, 35, 3, 1
2016/4/29, 29, 11, 30, 4, 1
2016/4/30, 37, 8, 36, 1, 1
2016/5/1, 24, 11, 39, 5, 1
2016/5/2, 27, 11, 39, 3, 1
2016/5/3, 30, 12, 39, 1, 1
2016/5/4, 29, 11, 38, 1, 1
