date, pm25, pm10, o3, no2, co
2015/1/18, 46, 13, 12, 9, 2
2015/1/19, 47, 15, 16, 12, 2
2015/1/20, 52, 14, 9, 9, 2
2015/1/21, 53, 11, 10, 8, 2
2015/1/22, 43, 7, 19, 2, 1
2015/1/23, 26, 11, 19, 5, 2
2015/1/24, 41, 12, 30, 4, 1
2015/1/25, 28, 5, 20, 8, 2
2015/1/26, 18, 10, 29, 2, 1
2015/1/27, 20, 6, 24, 3, 1
2015/1/28, 16, 6, 34, 2, 1
2015/1/29, 16, 9, 20, 9, 2
2015/1/30, 34, 11, 22, 2, 2
2015/1/31, 38, 8, 24, 2, 1
2015/2/1, 27, 5, 22, 1, 1
2015/2/2, 20, 6, 20, 1, 2
2015/2/3, 25, 7, 20, 1, 1
2015/2/4, 27, 11, 16, 9, 2
2015/2/5, 41, 12, 15, 9, 3
2015/2/6, 44, 12, 32, 1, 1
2015/2/7, 22, 15, 34, , 1
2015/2/8, 32, 12, 30, 2, 1
2015/2/9, 26, 11, 27, 2, 1
2015/2/10, 24, 8, 27, 2, 1
2015/2/11, 24, 10, 25, 4, 1
2015/2/12, 34, 8, 17, 6, 1
2015/2/13, 33, 18, 17, 6, 2
2015/2/14, 58, 22, 29, 1, 2
2015/2/15, 67, 24, 28, 2, 2
2015/2/16, 74, 33, 18, 5, 2
2015/2/17, 87, 14, 26, 4, 1
2015/2/18, 26, 18, 20, 9, 2
2015/2/19, 49, 15, 20, 8, 2
2015/2/20, 46, 7, 22, 5, 2
2015/2/21, 22, 10, 31, 1, 1
2015/2/22, 28, 10, 24, 5, 1
2015/2/23, 30, 12, 25, 5, 1
2015/2/24, 36, 18, 27, 4, 1
2015/2/25, 41, 14, 24, 9, 2
2015/2/26, 40, 16, 23, 7, 2
2015/2/27, 47, 10, 32, 3, 1
2015/2/28, 29, 11, 29, 2, 1
2015/3/1, 27, 8, 33, 2, 1
2015/3/2, 21, 11, 33, 1, 1
2015/3/3, 27, 8, 31, 2, 1
2015/3/4, 24, 12, 31, 2, 1
2015/3/5, 24, 14, 26, 2, 1
2015/3/6, 32, 14, 29, 4, 1
2015/3/7, 39, 16, 30, 4, 2
2015/3/8, 48, 13, 32, 2, 1
2015/3/9, 33, 15, 32, 2, 1
2015/3/10, 38, 16, 31, 2, 1
2015/3/11, 29, 13, 22, 8, 1
2015/3/12, 32, 10, 30, 4, 1
2015/3/13, 25, 11, 26, 2, 1
2015/3/14, 32, 15, 26, 2, 2
2015/3/15, 48, 24, 27, 4, 2
2015/3/16, 64, 32, 29, 5, 2
2015/3/17, 65, 26, 36, 5, 2
2015/3/18, 62, 34, 36, 12, 2
2015/3/19, 76, 21, 27, 8, 2
2015/3/20, 59, 9, 30, 1, 1
2015/3/21, 24, 5, 34, 1, 1
2015/3/22, 17, 9, 29, 3, 1
2015/3/23, 26, 16, 27, 3, 2
2015/3/24, 44, 14, 28, 7, 2
2015/3/25, 42, 15, 30, 6, 2
2015/3/26, 39, 26, 19, 10, 2
2015/3/27, 42, 5, 33, 2, 1
2015/3/28, 21, 8, 32, 1, 1
2015/3/29, 18, 14, 36, 1, 1
2015/3/30, 22, 9, 33, 2, 1
2015/3/31, 17, , 33, , 1
2014/10/1, 35, 15, 17, 5, 1
2014/10/2, 46, 16, 15, 9, 1
2014/10/3, 48, 23, 36, 3, 1
2014/10/4, 66, 31, 36, 3, 1
2014/10/5, 80, 21, 27, 3, 1
2014/10/6, 58, 24, 26, 3, 1
2014/10/7, 65, 10, 23, 3, 1
2014/10/8, 28, 11, 21, 4, 1
2014/10/9, 35, 16, 21, 4, 1
2014/10/10, 45, 15, 20, 4, 1
2014/10/11, 45, 10, 27, 2, 
2014/10/12, 40, 8, 20, 7, 1
2014/10/13, 25, 7, 18, 3, 1
2014/10/14, 19, 5, 23, 4, 1
2014/10/15, 16, 9, 22, 4, 1
2014/10/16, 29, 11, 17, 6, 1
2014/10/17, 37, 12, 19, 3, 1
2014/10/18, 35, 10, 27, 3, 1
2014/10/19, 26, 17, 26, , 1
2014/10/20, 37, 11, 17, 4, 1
2014/10/21, 28, 8, 19, 3, 1
2014/10/22, 24, 10, 19, 3, 1
2014/10/23, 34, 18, 17, 6, 1
2014/10/24, 50, 15, 12, 4, 1
2014/10/25, 51, 11, 21, 2, 1
2014/10/26, 28, 13, 23, 2, 1
2014/10/27, 36, 13, 14, 6, 1
2014/10/28, 40, 17, 26, 6, 1
2014/10/29, 50, 14, 21, 8, 1
2014/10/30, 35, 15, 8, 12, 1
2014/10/31, 46, 17, 2, 10, 2
2014/11/1, 54, 16, 12, 7, 1
2014/11/2, 47, 11, 25, 3, 1
2014/11/3, 32, 10, 27, 3, 1
2014/11/4, 29, 6, 26, 3, 1
2014/11/5, 21, 5, 20, 2, 1
2014/11/6, 18, 11, 17, 8, 1
2014/11/7, 36, 14, 15, 5, 
2014/11/8, 44, 12, 19, 3, 
2014/11/9, 39, 17, 10, 8, 1
2014/11/10, 57, 13, 18, 9, 1
2014/11/11, 44, 25, 21, 3, 1
2014/11/12, 68, 35, 14, 4, 2
2014/11/13, 90, 27, 16, 5, 1
2014/11/14, 69, 17, 18, 1, 1
2014/11/15, 54, 24, 19, 1, 1
2014/11/16, 68, 14, 11, 4, 2
2014/11/17, 45, 15, 13, 3, 1
2014/11/18, 50, 14, 18, 2, 1
2014/11/19, 41, 8, 9, 5, 1
2014/11/20, 29, 12, 3, 6, 2
2014/11/21, 40, 9, 20, 4, 1
2014/11/22, 30, 20, 15, 3, 2
2014/11/23, 64, 13, 27, 3, 1
2014/11/24, 35, 12, 25, 5, 1
2014/11/25, 25, 14, 17, 15, 1
2014/11/26, 33, 12, 23, 4, 1
2014/11/27, 41, 13, 28, 3, 1
2014/11/28, 50, 11, 27, 1, 1
2014/11/29, 41, 17, 26, 2, 1
2014/11/30, 54, 13, 24, 3, 1
2014/12/1, 45, 18, 20, 3, 1
2014/12/2, 60, 15, 21, 3, 1
2014/12/3, 51, 17, 17, 7, 1
2014/12/4, 49, 26, 16, 9, 2
2014/12/5, 73, 12, 23, 7, 2
2014/12/6, 36, 8, 21, 3, 1
2014/12/7, 21, 8, 24, 2, 1
2014/12/8, 20, 9, 23, 3, 1
2014/12/9, 28, 10, 29, 3, 1
2014/12/10, 23, 7, 31, 1, 1
2014/12/11, 18, 5, 32, 2, 1
2014/12/12, 17, 11, 30, , 1
2014/12/13, 28, 12, 25, 3, 1
2014/12/14, 34, 10, 29, 4, 1
2014/12/15, 29, 8, 27, 2, 1
2014/12/16, 20, 12, 26, 4, 1
2014/12/17, 32, 7, 22, 4, 1
2014/12/18, 21, 11, 31, , 1
2014/12/19, 24, 10, 33, , 1
2014/12/20, 22, 13, 28, 1, 1
2014/12/21, 26, 6, 32, 1, 1
2014/12/22, 17, 13, 32, , 1
2014/12/23, 26, 7, 31, 1, 1
2014/12/24, 18, 5, 26, 1, 1
2014/12/25, 21, 8, 17, 5, 1
2014/12/26, 31, 12, 16, 7, 1
2014/12/27, 39, 9, 24, 4, 1
2014/12/28, 33, , , , 
2014/7/1, 24, 10, 34, 1, 1
2014/7/2, 28, 12, 39, 1, 1
2014/7/3, 30, 18, 77, 3, 1
2014/7/4, 45, 24, 53, 4, 1
2014/7/5, 60, 16, 35, 2, 1
2014/7/6, 40, 14, 34, 3, 1
2014/7/7, 34, 20, 48, 2, 1
2014/7/8, 44, 25, 43, 2, 1
2014/7/9, 49, 19, 37, 1, 1
2014/7/10, 44, 14, 34, 2, 
2014/7/11, 33, 12, 28, 1, 
2014/7/12, 26, 8, 28, 1, 
2014/7/13, 21, 10, 32, 2, 1
2014/7/14, 30, 18, 38, 1, 1
2014/7/15, 38, 10, 29, 1, 1
2014/7/16, 25, 14, 36, 3, 1
2014/7/17, 32, 19, 45, 4, 1
2014/7/18, 43, 15, 40, 3, 1
2014/7/19, 39, 17, 40, 3, 1
2014/7/20, 37, 19, 38, 2, 1
2014/7/21, 41, 18, 37, 2, 1
2014/7/22, 42, 15, 35, 3, 1
2014/7/23, 35, 20, 37, 2, 1
2014/7/24, 41, 23, 39, 2, 1
2014/7/25, 45, 21, 50, 2, 1
2014/7/26, 52, 26, 49, 3, 1
2014/7/27, 58, 25, 55, 2, 1
2014/7/28, 60, 13, 41, 1, 1
2014/7/29, 32, 13, 37, 2, 1
2014/7/30, 29, 13, 35, , 1
2014/7/31, 29, 22, 47, 2, 1
2014/8/1, 54, 17, 41, 2, 1
2014/8/2, 42, 17, 49, 1, 1
2014/8/3, 43, 16, 43, 1, 1
2014/8/4, 39, 12, 36, 1, 1
2014/8/5, 31, 18, 39, 1, 1
2014/8/6, 35, 18, 41, 5, 1
2014/8/7, 43, 15, 38, 3, 1
2014/8/8, 39, 16, 44, 3, 1
2014/8/9, 38, 15, 41, 1, 1
2014/8/10, 32, 15, 31, 1, 1
2014/8/11, 32, 11, 37, 2, 1
2014/8/12, 30, 11, 40, 2, 1
2014/8/13, 27, 11, 33, 1, 1
2014/8/14, 29, 11, 34, 1, 1
2014/8/15, 23, 12, 32, , 1
2014/8/16, 23, 8, 26, 1, 1
2014/8/17, 23, 11, 29, 1, 1
2014/8/18, 25, 11, 30, , 
2014/8/19, 23, 11, 33, , 1
2014/8/20, 24, 9, 35, , 1
2014/8/21, 24, 10, 32, 2, 1
2014/8/22, 29, 8, 34, 1, 1
2014/8/23, 19, 9, 32, , 1
2014/8/24, 22, 8, 35, 1, 1
2014/8/25, 20, 10, 31, 1, 1
2014/8/26, 24, 9, 29, 2, 1
2014/8/27, 24, 11, 35, 2, 1
2014/8/28, 26, 13, 35, 9, 1
2014/8/29, 37, 13, 25, 3, 1
2014/8/30, 32, 8, 25, 3, 1
2014/8/31, 25, 8, 31, 2, 1
2014/9/1, 26, 11, 31, 4, 1
2014/9/2, 30, 12, 29, 7, 1
2014/9/3, 30, 12, 34, 5, 1
2014/9/4, 29, 15, 38, 4, 1
2014/9/5, 39, 18, 46, 3, 1
2014/9/6, 48, 25, 35, 5, 1
2014/9/7, 64, 10, 30, 1, 1
2014/9/8, 23, 11, 32, 1, 1
2014/9/9, 33, 7, 28, 1, 1
2014/9/10, 22, 12, 28, 3, 1
2014/9/11, 37, 13, 28, 4, 1
2014/9/12, 46, 13, 20, 2, 1
2014/9/13, 42, 17, 25, 1, 1
2014/9/14, 49, 14, 25, 2, 1
2014/9/15, 37, 14, 27, 3, 1
2014/9/16, 33, 15, 35, 3, 1
2014/9/17, 39, 23, 43, 4, 1
2014/9/18, 56, 26, 31, 5, 2
2014/9/19, 63, 27, 35, 5, 2
2014/9/20, 73, 14, 35, 2, 1
2014/9/21, 38, 7, 29, , 1
2014/9/22, 19, 10, 25, 3, 1
2014/9/23, 31, 26, 26, 4, 1
2014/9/24, 71, 9, 28, 1, 1
2014/9/25, 25, 10, 24, 1, 1
2014/9/26, 26, 18, 27, , 1
2014/9/27, 36, 13, 27, 1, 1
2014/9/28, 32, 9, 22, 4, 1
2014/9/29, 30, 11, 11, 10, 1
2014/9/30, 35, 11, 20, 7, 1
2014/4/1, 23, 9, 34, 3, 1
2014/4/2, 19, 9, 35, 2, 1
2014/4/3, 27, 8, 32, 3, 1
2014/4/4, 19, 14, 29, 3, 1
2014/4/5, 40, 16, 15, 4, 2
2014/4/6, 52, 8, 20, 2, 1
2014/4/7, 27, 7, 35, 3, 1
2014/4/8, 23, 9, 36, 1, 1
2014/4/9, 24, 6, 29, 2, 1
2014/4/10, 21, 9, 28, 4, 1
2014/4/11, 26, 9, 37, 3, 1
2014/4/12, 27, 13, 38, , 1
2014/4/13, 29, 9, 36, , 1
2014/4/14, 21, 10, 35, 1, 1
2014/4/15, 23, 10, 35, 3, 1
2014/4/16, 23, 12, 36, 4, 1
2014/4/17, 25, 9, 38, 1, 1
2014/4/18, 25, 16, 38, 3, 1
2014/4/19, 50, 17, 44, 2, 1
2014/4/20, 48, 22, 40, 2, 1
2014/4/21, 54, 24, 43, 3, 1
2014/4/22, 62, 14, 36, 4, 1
2014/4/23, 33, 13, 33, 4, 1
2014/4/24, 25, 20, 38, 5, 1
2014/4/25, 36, 21, 42, 4, 1
2014/4/26, 43, 20, 44, 3, 1
2014/4/27, 43, 22, 44, 7, 1
2014/4/28, 40, 19, 50, 5, 1
2014/4/29, 48, 17, 48, 3, 1
2014/4/30, 46, 11, 35, 1, 1
2014/5/1, 22, 9, 34, 2, 1
2014/5/2, 23, 12, 40, 2, 1
2014/5/3, 30, 10, 39, 1, 1
2014/5/4, 22, 10, 37, 3, 1
2014/5/5, 28, 15, 38, 3, 1
2014/5/6, 36, 14, 35, 6, 1
2014/5/7, 39, 10, 31, 1, 1
2014/5/8, 26, 7, 31, 1, 1
2014/5/9, 21, 9, 33, 1, 1
2014/5/10, 24, 7, 31, 1, 1
2014/5/11, 20, 8, 33, 1, 1
2014/5/12, 22, 11, 34, 1, 1
2014/5/13, 35, 15, 34, 1, 1
2014/5/14, 57, 9, 33, 4, 1
2014/5/15, 38, 11, 34, 1, 1
2014/5/16, 43, 12, 35, 1, 1
2014/5/17, 46, 11, 28, 2, 1
2014/5/18, 44, 11, 35, 4, 1
2014/5/19, 45, 12, 39, 4, 1
2014/5/20, 50, 17, 49, 5, 1
2014/5/21, 63, 23, 49, 5, 1
2014/5/22, 75, 29, 44, 5, 1
2014/5/23, 88, 9, 43, 1, 1
2014/5/24, 40, 9, 45, 1, 1
2014/5/25, 39, 11, 42, 2, 1
2014/5/26, 48, 14, 29, 2, 1
2014/5/27, 55, 12, 32, 1, 1
2014/5/28, 53, 10, 30, 1, 1
2014/5/29, 43, 14, 41, 1, 1
2014/5/30, 54, 19, 37, 1, 1
2014/5/31, 67, 19, 37, 1, 1
2014/6/1, 68, 17, 43, 4, 1
2014/6/2, 61, 9, 27, 5, 1
2014/6/3, 39, 8, 29, 3, 1
2014/6/4, 34, 12, 34, 3, 1
2014/6/5, 48, 11, 35, 3, 1
2014/6/6, 49, 8, 40, 1, 1
2014/6/7, 37, 11, 40, 4, 1
2014/6/8, 47, 10, 34, 2, 1
2014/6/9, 42, 16, 41, 4, 1
2014/6/10, 46, 15, 40, 5, 1
2014/6/11, 40, 10, 36, 1, 1
2014/6/12, 25, 9, 34, , 
2014/6/13, 20, 7, 29, , 
2014/6/14, 19, 9, 34, 1, 1
2014/6/15, 23, 15, 35, 1, 1
2014/6/16, 35, 9, 34, 1, 1
2014/6/17, 21, 17, 34, 2, 1
2014/6/18, 38, 12, 25, 1, 
2014/6/19, 25, 13, 25, 1, 1
2014/6/20, 27, 10, 29, , 1
2014/6/21, 21, 12, 30, , 
2014/6/22, 28, 12, 28, 1, 1
2014/6/23, 32, 11, 26, 2, 1
2014/6/24, 31, 10, 25, 2, 1
2014/6/25, 28, 11, 28, 4, 1
2014/6/26, 27, 12, 31, 4, 1
2014/6/27, 33, 10, 39, 1, 1
2014/6/28, 31, 8, 32, 1, 1
2014/6/29, 23, 11, 37, 1, 
2014/6/30, 29, 9, 33, 1, 
2014/1/1, 77, 14, 13, 4, 
2014/1/2, 44, 10, 19, 4, 
2014/1/3, 19, 12, 30, 3, 1
2014/1/4, 25, 17, 23, 3, 1
2014/1/5, 45, 9, 19, 5, 1
2014/1/6, 20, 9, 25, 3, 1
2014/1/7, 23, 14, 26, 2, 1
2014/1/8, 30, 9, 28, 4, 1
2014/1/9, 17, 8, 28, 1, 1
2014/1/10, 21, 11, 31, 1, 1
2014/1/11, 22, 12, 29, , 1
2014/1/12, 23, 6, 18, 3, 1
2014/1/13, 18, 10, 11, 12, 1
2014/1/14, 37, 14, 21, 7, 1
2014/1/15, 47, 13, 22, 2, 1
2014/1/16, 48, 9, 17, 4, 2
2014/1/17, 36, 10, 14, 2, 2
2014/1/18, 39, 12, 24, 1, 1
2014/1/19, 42, 11, 22, 1, 1
2014/1/20, 35, 11, 29, 2, 1
2014/1/21, 38, 9, 30, 2, 1
2014/1/22, 25, 7, 29, 1, 1
2014/1/23, 21, 10, 28, 3, 1
2014/1/24, 33, 8, 30, , 1
2014/1/25, 25, 10, 29, 1, 1
2014/1/26, 36, 26, 23, 4, 2
2014/1/27, 80, 31, 22, 6, 2
2014/1/28, 91, 14, 20, 4, 1
2014/1/29, 52, 25, 23, 5, 2
2014/1/30, 71, 34, 22, 6, 2
2014/1/31, 85, 30, 15, 7, 3
2014/2/1, 88, 14, 11, 8, 2
2014/2/2, 50, 12, 8, 11, 2
2014/2/3, 44, 27, 15, 7, 2
2014/2/4, 82, 24, 20, 9, 2
2014/2/5, 75, 16, 17, 8, 1
2014/2/6, 46, 10, 24, 6, 1
2014/2/7, 23, , 26, 3, 1
2014/2/9, 25, 13, 25, 5, 1
2014/2/10, 35, 16, 18, 9, 1
2014/2/11, 52, 11, 22, 5, 1
2014/2/12, 30, 9, 24, 5, 1
2014/2/13, 27, 14, 22, 6, 1
2014/2/14, 40, 8, 27, 2, 1
2014/2/15, 23, 10, 28, 1, 1
2014/2/16, 27, 14, 28, 1, 1
2014/2/17, 30, 14, 15, 8, 1
2014/2/18, 42, 12, 10, 13, 2
2014/2/19, 43, 11, 19, 5, 1
2014/2/20, 32, 9, 29, 3, 1
2014/2/21, 28, 13, 22, 3, 1
2014/2/22, 39, 11, 27, 2, 1
2014/2/23, 34, 10, 26, 5, 1
2014/2/24, 32, 27, 21, 5, 2
2014/2/25, 76, 36, 15, 10, 2
2014/2/26, 94, 29, 6, 15, 2
2014/2/27, 84, 36, 15, 10, 3
2014/2/28, 102, 22, 17, 6, 2
2014/3/1, 66, 24, 21, 3, 2
2014/3/2, 71, 24, 25, 5, 2
2014/3/3, 72, 27, 21, 5, 2
2014/3/4, 85, 28, 16, 7, 2
2014/3/5, 79, 23, 23, 4, 1
2014/3/6, 63, 18, 26, 5, 1
2014/3/7, 54, 18, 32, 1, 1
2014/3/8, 30, 18, 28, 2, 1
2014/3/9, 53, 19, 30, 5, 1
2014/3/10, 58, 8, 28, 4, 1
2014/3/11, 24, 14, 28, 7, 1
2014/3/12, 37, 15, 32, 5, 1
2014/3/13, 36, 16, 31, 2, 1
2014/3/14, 31, 14, 34, , 1
2014/3/15, 29, 13, 36, , 1
2014/3/16, 26, 18, 33, , 1
2014/3/17, 29, 14, 28, , 1
2014/3/18, 34, 15, 31, 1, 1
2014/3/19, 40, 23, 34, 3, 1
2014/3/20, 48, 14, 32, 1, 1
2014/3/21, 34, 10, 29, 2, 1
2014/3/22, 26, 11, 29, 1, 1
2014/3/23, 35, 13, 32, 1, 1
2014/3/24, 30, 10, 33, 2, 1
2014/3/25, 19, 7, 30, 2, 1
2014/3/26, 24, 9, 20, 6, 1
2014/3/27, 29, 13, 35, 4, 1
2014/3/28, 42, 16, 33, 4, 1
2014/3/29, 40, 15, 36, 9, 1
2014/3/30, 46, 20, 34, 7, 1
2014/3/31, 62, 9, 33, 3, 1
2023/4/1, , 6, 36, , 1
2023/4/2, , 7, 36, 1, 1
2023/4/3, , 7, 36, 1, 1
2023/4/4, , 7, 38, 2, 1
2023/4/5, , 7, 37, 2, 1
2023/4/6, , 10, 31, 1, 1
2023/4/7, , 8, 31, 1, 1
2023/4/8, , 10, 35, 2, 1
2023/4/9, , 10, 37, 2, 1
2023/4/10, , 11, 34, 1, 1
2023/4/11, , 10, 34, 2, 1
2023/4/12, , 9, 34, 3, 1
2023/4/13, , 9, 26, 3, 1
2023/4/14, , 11, 35, 1, 1
2023/4/15, , 18, 30, 1, 1
2023/4/16, , 18, 43, 3, 1
2023/4/17, , 20, 41, 2, 1
2023/4/18, , 13, 42, , 1
2023/4/19, , 8, 47, 1, 1
2023/4/20, , 19, 43, 2, 1
2023/4/21, , 17, 43, 3, 1
2023/4/22, , 16, 42, 2, 1
2023/4/23, , 11, 37, 3, 1
2023/4/24, , 8, 35, , 1
2023/4/25, , 13, 34, , 1
2023/4/26, , 12, 30, , 1
2023/4/27, , 10, , , 
2023/1/2, , 8, 29, 1, 1
2023/1/3, , 11, 28, 2, 1
2023/1/4, , 7, 25, 1, 1
2023/1/5, , 7, 29, 1, 1
2023/1/6, , 9, 22, 3, 1
2023/1/7, , 10, 17, 2, 1
2023/1/8, , 7, 23, 3, 1
2023/1/9, , 8, 24, 2, 1
2023/1/10, , 13, 26, 1, 1
2023/1/11, , 11, 29, 2, 1
2023/1/12, , 7, 31, 1, 1
2023/1/13, , 12, 31, 1, 1
2023/1/14, , 10, 32, , 1
2023/1/15, , 9, 29, 2, 1
2023/1/16, , 8, 28, 2, 1
2023/1/17, , 7, 23, 4, 1
2023/1/18, , 8, 17, 5, 1
2023/1/19, , 5, 20, 5, 1
2023/1/20, , 7, 18, 2, 1
2023/1/21, , 5, 22, 1, 1
2023/1/22, , 5, 20, 3, 1
2023/1/23, , 7, 20, 1, 1
2023/1/24, , 8, 19, 2, 1
2023/1/25, , 9, 27, 2, 
2023/1/26, , 6, 23, 4, 1
2023/1/27, , 7, 25, 3, 1
2023/1/28, , 8, 27, , 1
2023/1/29, , 8, 31, , 1
2023/1/30, , 13, 32, , 1
2023/1/31, , 10, 30, , 1
2023/2/1, , 13, 28, 1, 1
2023/2/2, , 9, 30, 1, 1
2023/2/3, , 10, 24, 2, 1
2023/2/4, , 6, 21, 2, 1
2023/2/5, , 7, 21, 3, 1
2023/2/6, , 6, 22, 4, 1
2023/2/7, , 9, 20, 6, 1
2023/2/8, , 11, 29, 6, 1
2023/2/9, , 18, 28, , 1
2023/2/10, , 14, 32, , 1
2023/2/11, , 19, 30, , 1
2023/2/12, , 8, 31, , 1
2023/2/13, , 9, 28, 2, 1
2023/2/14, , 9, 17, 4, 1
2023/2/15, , 14, 19, 8, 2
2023/2/16, , 18, 35, 2, 1
2023/2/17, , 9, 33, , 1
2023/2/18, , 17, 32, , 1
2023/2/19, , 10, 32, , 1
2023/2/20, , 14, 32, 1, 1
2023/2/21, , 20, 27, 2, 1
2023/2/22, , 7, 30, 3, 1
2023/2/23, , 12, 31, , 1
2023/2/24, , 7, 32, , 1
2023/2/25, , 6, 30, , 1
2023/2/26, , 8, 23, 4, 1
2023/2/27, , 11, 24, 5, 1
2023/2/28, , 11, 17, 7, 1
2023/3/1, , 8, 25, 5, 1
2023/3/2, , 7, 30, 2, 1
2023/3/3, , 10, 34, , 1
2023/3/4, , 8, 34, , 1
2023/3/5, , 6, 30, 4, 1
2023/3/6, , 10, 32, 1, 1
2023/3/7, , 6, 33, 2, 1
2023/3/8, , 8, 31, 6, 1
2023/3/9, , 11, 31, 2, 1
2023/3/10, , 8, 34, , 1
2023/3/11, , 7, 34, , 1
2023/3/12, , 8, 36, 1, 1
2023/3/13, , 11, 34, , 1
2023/3/14, , 13, 33, , 1
2023/3/15, , 12, 32, 2, 1
2023/3/16, , 8, 28, 3, 1
2023/3/17, , 12, 17, 5, 1
2023/3/18, , 13, 13, 8, 2
2023/3/19, , 11, 27, 1, 1
2023/3/20, , 4, 23, 4, 1
2023/3/21, , 6, 28, 2, 1
2023/3/22, , 8, 38, , 1
2023/3/23, , 9, 37, , 1
2023/3/24, , 12, 33, , 1
2023/3/25, , 10, 34, , 1
2023/3/26, , 6, 34, , 1
2023/3/27, , 6, 35, , 1
2023/3/28, , 7, 30, 2, 1
2023/3/29, , 10, 33, 3, 1
2023/3/30, , 8, 32, 1, 1
2023/3/31, , 6, 35, , 1
2022/10/1, , 8, 25, , 
2022/10/2, , 10, 24, , 
2022/10/3, , 12, 24, 1, 1
2022/10/4, , 11, 22, 2, 1
2022/10/5, , 11, 28, , 
2022/10/6, , 12, 26, 2, 
2022/10/7, , 12, 26, , 
2022/10/8, , 7, 24, 1, 
2022/10/9, , 9, 27, 3, 1
2022/10/10, , 10, 27, , 
2022/10/11, , 11, 25, 2, 1
2022/10/12, , 10, 15, 5, 1
2022/10/13, , 14, 27, 2, 1
2022/10/14, , 9, 23, 2, 1
2022/10/15, , 9, 28, 1, 1
2022/10/16, , 10, 18, 3, 1
2022/10/17, , 12, 27, , 1
2022/10/18, , 9, 25, 1, 
2022/10/19, , 6, 26, 4, 1
2022/10/20, , 7, 14, 5, 1
2022/10/21, , 15, 10, 4, 1
2022/10/22, , 14, 22, 2, 1
2022/10/23, , 8, 28, 3, 1
2022/10/24, , 9, 25, 1, 1
2022/10/25, , 9, 21, 3, 1
2022/10/26, , 9, 21, 4, 1
2022/10/27, , 11, 11, 4, 1
2022/10/28, , 14, 26, 1, 1
2022/10/29, , 10, 22, 3, 1
2022/10/30, , 10, 18, 3, 1
2022/10/31, , 9, 24, 1, 1
2022/11/1, , 11, 24, 1, 1
2022/11/2, , 8, 19, 3, 1
2022/11/3, , 9, 29, 2, 1
2022/11/4, , 10, 24, 1, 1
2022/11/5, , 8, 18, 2, 1
2022/11/6, , 7, 23, 1, 1
2022/11/7, , 9, 19, 2, 1
2022/11/8, , 8, 24, 2, 1
2022/11/9, , 9, 24, 1, 1
2022/11/10, , 10, 23, 1, 1
2022/11/11, , 13, 20, 1, 1
2022/11/12, , 15, 20, 1, 1
2022/11/13, , 4, 20, 1, 1
2022/11/14, , 7, 21, 3, 1
2022/11/15, , 17, 22, , 1
2022/11/16, , 4, 23, 1, 1
2022/11/17, , 5, 22, 1, 1
2022/11/18, , 4, 22, , 1
2022/11/19, , 4, 20, 1, 1
2022/11/20, , 5, 17, 3, 1
2022/11/21, , 5, 20, 2, 1
2022/11/22, , 11, 11, 5, 2
2022/11/23, , 21, 10, 6, 2
2022/11/24, , 17, 18, 3, 1
2022/11/25, , 10, 16, 2, 1
2022/11/26, , 8, 17, 2, 1
2022/11/27, , 7, 20, 1, 1
2022/11/28, , 9, 20, 3, 1
2022/11/29, , 13, 15, 2, 1
2022/11/30, , 14, 13, 2, 1
2022/12/1, , 9, 23, , 1
2022/12/2, , 6, 20, , 1
2022/12/3, , 8, 17, 1, 1
2022/12/4, , 7, 9, 2, 1
2022/12/5, , 4, 24, 1, 1
2022/12/6, , 4, 26, 1, 1
2022/12/7, , 5, 21, 9, 1
2022/12/8, , 9, 20, 4, 1
2022/12/9, , 8, 19, 2, 1
2022/12/10, , 9, 14, 3, 1
2022/12/11, , 5, 19, , 1
2022/12/12, , 5, 20, 2, 1
2022/12/13, , 8, 18, 6, 1
2022/12/14, , 10, 23, 5, 1
2022/12/15, , 8, 13, 11, 2
2022/12/16, , 11, 15, 10, 2
2022/12/17, , 13, 19, 5, 2
2022/12/18, , 10, 18, 5, 2
2022/12/19, , 10, 12, 5, 1
2022/12/20, , 9, 23, 2, 1
2022/12/21, , 6, 24, 3, 1
2022/12/22, , 11, 25, 1, 1
2022/12/23, , 7, 21, 3, 1
2022/12/24, , 6, 19, 2, 1
2022/12/25, , 9, 30, 1, 1
2022/12/26, , 8, 30, , 1
2022/12/27, , 9, 25, 1, 1
2022/12/28, , 7, 28, , 1
2022/12/29, , 8, 27, 1, 1
2022/12/30, , 14, 27, 1, 1
2022/12/31, , 10, 30, 1, 1
2023/1/1, , 24, 30, 2, 1
2022/7/1, , 7, 35, , 1
2022/7/2, , 6, 38, 1, 1
2022/7/3, , 9, 27, , 1
2022/7/4, , 5, 25, , 1
2022/7/5, , 6, 29, , 
2022/7/6, , 8, 22, , 1
2022/7/7, , 7, 28, , 
2022/7/8, , 9, 24, , 
2022/7/9, , 5, 23, , 
2022/7/10, , 6, 24, , 
2022/7/11, , 6, 24, , 1
2022/7/12, , 7, 41, , 
2022/7/13, , 6, 25, , 
2022/7/14, , 5, 26, , 
2022/7/15, , 6, 28, , 
2022/7/16, , 5, 29, , 
2022/7/17, , 7, 43, 1, 1
2022/7/18, , 7, 52, 1, 1
2022/7/19, , 10, 53, 4, 1
2022/7/20, , 11, 56, 3, 1
2022/7/21, , 14, 26, , 1
2022/7/22, , 7, 21, , 1
2022/7/23, , 4, 36, , 
2022/7/24, , 8, 53, 2, 1
